0 1 0
1 2 -10
2 3 -29
3 4 -25
4 5 35
5 6 -98
6 7 81
7 8 27
8 9 -36
9 10 -109
10 11 74
11 12 1
12 13 -72
13 14 111
14 15 38
15 16 -35
16 17 -108
17 18 75
18 19 2
19 20 -71
20 21 112
21 22 39
22 23 -34
23 24 -107
24 25 76
25 26 3
26 27 -70
27 28 113
28 29 40
29 30 -33
30 31 -106
31 32 77
32 33 4
33 34 -69
34 35 114
35 36 41
36 37 -32
37 38 -105
38 39 78
39 40 5
40 41 -68
41 42 115
42 43 42
43 44 -31
44 45 -104
45 46 79
46 47 6
47 48 -67
48 49 116
49 50 43
50 51 -30
51 52 -103
52 53 80
53 54 7
54 55 -66
55 56 117
56 57 44
57 58 -29
58 59 -102
59 60 81
60 61 8
61 62 -65
62 63 118
63 64 45
64 65 -28
65 66 -101
66 67 82
67 68 9
68 69 -64
69 70 119
70 71 46
71 72 -27
72 73 -100
73 74 83
74 75 10
75 74 -63
76 73 -116
77 72 105
78 71 24
79 70 87
80 69 24
81 68 105
82 67 -116
83 66 -63
84 65 10
85 64 83
86 63 -100
87 62 -27
88 61 46
89 60 119
90 59 -64
91 58 9
92 57 82
93 56 -101
94 55 -28
95 54 45
96 53 118
97 52 -65
98 51 8
99 50 81
100 49 -102
101 48 -29
102 47 44
103 46 117
104 45 -66
105 44 7
106 43 80
107 42 -103
108 41 -30
109 40 43
110 39 116
111 38 -67
112 37 6
113 36 79
114 35 -104
115 34 -31
116 33 42
117 32 115
118 31 -68
119 30 5
120 29 78
121 28 -105
122 27 -32
123 26 41
124 25 114
125 24 -69
126 23 4
127 22 77
128 21 -106
129 20 -33
130 19 40
131 18 113
132 17 -70
133 16 3
134 15 76
135 14 -107
136 13 -34
137 12 39
138 11 112
139 10 -71
140 9 2
141 8 75
142 7 -108
143 6 -35
144 5 38
145 4 111
146 3 -72
147 2 1
148 1 74
149 0 -109
150 -1 -36
151 -2 37
152 -3 110
153 -4 -73
154 -5 0
155 -6 73
156 -7 -110
157 -8 -37
158 -9 36
159 -10 109
160 -11 -74
161 -12 -1
162 -13 72
163 -14 -111
164 -15 -38
165 -16 35
166 -17 108
167 -18 -75
168 -19 -2
169 -20 71
170 -21 -112
171 -22 -39
172 -23 34
173 -24 107
174 -25 -76
175 -26 -3
176 -27 70
177 -28 -113
178 -29 -40
179 -30 33
180 -31 106
181 -32 -77
182 -33 -4
183 -34 69
184 -35 -114
185 -36 -41
186 -37 32
187 -38 105
188 -39 -78
189 -40 -5
190 -41 68
191 -42 -115
192 -43 -42
